"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 10:45:06 BRT 2024","Mon Jun 10 10:45:09 BRT 2024","2942","","Tests","The-Internet-Herokuapp","","","Interagindo com Dropdown",""
"passed","Mon Jun 10 10:44:57 BRT 2024","Mon Jun 10 10:45:02 BRT 2024","4623","","Tests","Serve-Rest-Front","","","Exemplo utilizando requisições HTTP",""
"passed","Mon Jun 10 10:44:39 BRT 2024","Mon Jun 10 10:44:47 BRT 2024","7713","","Tests","Serve-Rest-Front","","","Login com sucesso Serverest-front",""
"passed","Mon Jun 10 10:45:09 BRT 2024","Mon Jun 10 10:45:12 BRT 2024","2543","","Tests","The-Internet-Herokuapp","","","Interagindo com iFrames",""
"passed","Mon Jun 10 10:44:47 BRT 2024","Mon Jun 10 10:44:52 BRT 2024","4613","","Tests","Serve-Rest-Front","","","Desafio: Conferir se o novo usuário é mostrado na listagem de usuários",""
"passed","Mon Jun 10 10:45:14 BRT 2024","Mon Jun 10 10:45:17 BRT 2024","2555","","Tests","The-Internet-Herokuapp","","","Interagindo com novas abas (pages)",""
"passed","Mon Jun 10 10:45:12 BRT 2024","Mon Jun 10 10:45:14 BRT 2024","2161","","Tests","The-Internet-Herokuapp","","","Interagindo com Tabelas",""
"passed","Mon Jun 10 10:44:52 BRT 2024","Mon Jun 10 10:44:57 BRT 2024","5229","","Tests","Serve-Rest-Front","","","Desafio 2: cadastrar novo produto e validar que ele aparece na listagem",""
"passed","Mon Jun 10 10:45:02 BRT 2024","Mon Jun 10 10:45:06 BRT 2024","3761","","Tests","Serve-Rest-Front","","","Exemplo utilizando o Storage Armazenado no Contexto",""
