"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 14:24:43 GMT 2024","Wed Jun 12 14:24:44 GMT 2024","1759","","Tests","Serve-Rest-Front","","","Desafio 2: cadastrar novo produto e validar que ele aparece na listagem",""
"passed","Wed Jun 12 14:24:48 GMT 2024","Wed Jun 12 14:24:49 GMT 2024","400","","Tests","The-Internet-Herokuapp","","","Interagindo com Tabelas",""
"passed","Wed Jun 12 14:24:36 GMT 2024","Wed Jun 12 14:24:41 GMT 2024","4787","","Tests","Serve-Rest-Front","","","Login com sucesso Serverest-front",""
"passed","Wed Jun 12 14:24:47 GMT 2024","Wed Jun 12 14:24:47 GMT 2024","398","","Tests","The-Internet-Herokuapp","","","Interagindo com Dropdown",""
"passed","Wed Jun 12 14:24:46 GMT 2024","Wed Jun 12 14:24:47 GMT 2024","1259","","Tests","Serve-Rest-Front","","","Exemplo utilizando o Storage Armazenado no Contexto",""
"passed","Wed Jun 12 14:24:49 GMT 2024","Wed Jun 12 14:24:49 GMT 2024","521","","Tests","The-Internet-Herokuapp","","","Interagindo com novas abas (pages)",""
"passed","Wed Jun 12 14:24:44 GMT 2024","Wed Jun 12 14:24:46 GMT 2024","1339","","Tests","Serve-Rest-Front","","","Exemplo utilizando requisições HTTP",""
"passed","Wed Jun 12 14:24:41 GMT 2024","Wed Jun 12 14:24:42 GMT 2024","1508","","Tests","Serve-Rest-Front","","","Desafio: Conferir se o novo usuário é mostrado na listagem de usuários",""
"passed","Wed Jun 12 14:24:48 GMT 2024","Wed Jun 12 14:24:48 GMT 2024","660","","Tests","The-Internet-Herokuapp","","","Interagindo com iFrames",""
